train_loss_loc,train_loss_ids,train_loss,epoch,step
0.2567831575870514,0.25364431738853455,0.5104274749755859,0,49
0.23355886340141296,0.21975809335708618,0.45331695675849915,0,99
0.2553775906562805,0.2351333349943161,0.4905109405517578,0,149
0.2521701455116272,0.229841411113739,0.4820115566253662,0,199
0.2467082440853119,0.22152401506900787,0.46823227405548096,0,249
0.25798943638801575,0.22985117137432098,0.48784059286117554,0,299
0.25422894954681396,0.2176196575164795,0.47184860706329346,0,349
0.24637998640537262,0.2061404287815094,0.4525204300880432,0,399
0.26734304428100586,0.2288227528333664,0.49616581201553345,0,449
0.23417894542217255,0.1949382722377777,0.42911720275878906,0,499
0.2537752389907837,0.20606568455696106,0.45984092354774475,0,549
0.2426391839981079,0.2074318677186966,0.4500710368156433,0,599
0.24266912043094635,0.19769932329654694,0.4403684437274933,0,649
0.22825373709201813,0.18639302253723145,0.4146467447280884,0,699
0.21070249378681183,0.17230439186096191,0.38300687074661255,0,749
0.23169876635074615,0.1856697052717209,0.41736847162246704,0,799
0.2510141134262085,0.19908104836940765,0.45009517669677734,0,849
0.21427197754383087,0.16954708099365234,0.383819043636322,0,899
0.2179209589958191,0.16998770833015442,0.3879086673259735,0,949
0.22790974378585815,0.16911451518535614,0.3970242738723755,0,999
0.22793759405612946,0.17778147757053375,0.4057190716266632,0,1049
0.21250048279762268,0.16158199310302734,0.37408247590065,0,1099
0.23198440670967102,0.1712510585784912,0.40323546528816223,0,1149
0.21050867438316345,0.15138959884643555,0.361898273229599,0,1199
0.2102287858724594,0.15040293335914612,0.36063170433044434,0,1249
0.20607233047485352,0.1452149897813797,0.351287305355072,0,1299
0.18683947622776031,0.12381474673748016,0.3106542229652405,0,1349
0.2007501721382141,0.13007864356040955,0.33082881569862366,0,1399
0.2114333063364029,0.13484197854995728,0.346275269985199,0,1449
0.19146457314491272,0.12126564979553223,0.31273022294044495,0,1499
0.19238878786563873,0.12135730683803558,0.3137460947036743,0,1549
0.1948636770248413,0.11937267333269119,0.3142363429069519,0,1599
0.19170357286930084,0.11381258815526962,0.30551615357398987,0,1649
0.15610933303833008,0.09353510290384293,0.2496444284915924,0,1699
0.16587486863136292,0.09888612478971481,0.2647610008716583,0,1749
0.17035146057605743,0.09913516044616699,0.26948660612106323,0,1799
0.16428257524967194,0.09631500393152237,0.2605975866317749,0,1849
0.1661292016506195,0.08978024125099182,0.25590944290161133,0,1899
0.164088636636734,0.08175478875637054,0.24584342539310455,0,1949
0.1617809236049652,0.08425381034612656,0.24603474140167236,0,1999
0.20079952478408813,0.12045460939407349,0.3212541341781616,0,2049
0.16023395955562592,0.08923541754484177,0.24946936964988708,0,2099
0.16281506419181824,0.08210563659667969,0.24492070078849792,0,2149
0.1713436096906662,0.08757209777832031,0.2589157223701477,0,2199
0.1614668220281601,0.08563410490751266,0.24710091948509216,0,2249
0.15486685931682587,0.07604818046092987,0.23091503977775574,0,2299
0.15794460475444794,0.0787878930568695,0.23673249781131744,0,2349
0.15945863723754883,0.08216092735528946,0.2416195571422577,0,2399
0.15288589894771576,0.06851192563772202,0.22139781713485718,0,2449
0.14951591193675995,0.07483433932065964,0.224350243806839,0,2499
0.15736670792102814,0.07410524040460587,0.2314719557762146,0,2549
0.14756865799427032,0.07262807339429855,0.22019672393798828,0,2599
0.15425051748752594,0.07860143482685089,0.23285195231437683,0,2649
0.13702110946178436,0.06358534842729568,0.20060646533966064,0,2699
0.14978574216365814,0.0756288543343544,0.22541460394859314,0,2749
0.15194086730480194,0.07174614816904068,0.22368702292442322,0,2799
0.14604797959327698,0.0696185901761055,0.21566656231880188,0,2849
0.14167824387550354,0.06150288134813309,0.20318111777305603,0,2899
0.15426185727119446,0.06715855002403259,0.22142040729522705,0,2949
0.13943062722682953,0.060334522277116776,0.199765145778656,0,2999
0.1299348771572113,0.057983264327049255,0.18791814148426056,0,3049
0.12950463593006134,0.05610987916588783,0.18561451137065887,0,3099
0.14588691294193268,0.06874681264162064,0.2146337330341339,0,3149
0.13795660436153412,0.060434240847826004,0.19839084148406982,0,3199
0.1448189616203308,0.06403030455112457,0.20884926617145538,0,3249
0.15431754291057587,0.06747016310691833,0.2217877060174942,0,3299
0.11875980347394943,0.053229182958602905,0.17198899388313293,0,3349
0.1529415249824524,0.0740116685628891,0.2269531935453415,0,3399
0.11860313266515732,0.05191987007856369,0.170523002743721,0,3449
